AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
SERI 819 Hydrofoil.  Clean surface data.  Calculated by XFOIL. 
Viterna Extended with AR=7, Fourth column is the minimum pressure coefficient.
  5           Number of airfoil tables in this file
0.5           Table ID parameter (Reynolds number in millions).
  14.5        Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-80	-0.2169	1.1890	-1
-75	-0.3219	1.1405	-1
-70	-0.4209	1.0759	-1
-65	-0.5113	0.9971	-1
-60	-0.5912	0.9063	-1
-55	-0.6591	0.8063	-1
-50	-0.7143	0.7001	-1
-45	-0.7571	0.5907	-1
-40	-0.7888	0.4816	-1
-35	-0.8122	0.3760	-1
-30	-0.8326	0.2769	-1
-28	-0.8418	0.2398	-1
-26	-0.8528	0.2045	-1
-24	-0.8668	0.1710	-1
-22	-0.8854	0.1396	-1
-20	-0.9106	0.1103	-1
-18	-0.9455	0.0834	-1
-16	-0.9946	0.0590	-1
-15	-0.9941	0.0569	-4.115
-14.5	-1.0161	0.0491	-4.09
-14	-1.0478	0.0409	-4.075
-13.5	-1.0756	0.0336	-4.018
-13	-1.1112	0.0273	-3.987
-12.5	-1.1008	0.0199	-3.808
-12	-1.0890	0.0133	-3.668
-11.5	-1.0847	0.0100	-3.493
-11	-1.0419	0.0092	-3.221
-10.5	-0.9908	0.0089	-2.944
-10	-0.9376	0.0086	-2.67
-9.5	-0.8832	0.0085	-2.399
-9	-0.8303	0.0084	-2.262
-8.5	-0.7748	0.0083	-2.185
-7.5	-0.6624	0.0080	-2.036
-7	-0.6050	0.0079	-1.962
-6.5	-0.5470	0.0079	-1.887
-6	-0.4895	0.0077	-1.812
-5.5	-0.4321	0.0076	-1.74
-5	-0.3745	0.0076	-1.666
-4.5	-0.3164	0.0076	-1.594
-3.5	-0.1998	0.0075	-1.453
-3	-0.1411	0.0074	-1.384
-2	-0.0238	0.0074	-1.25
-1.5	0.0349	0.0074	-1.184
-1	0.0933	0.0074	-1.12
-0.5	0.1515	0.0075	-1.055
0	0.2096	0.0075	-0.993
0.5	0.2677	0.0076	-0.957
1	0.3257	0.0077	-1.017
2	0.4415	0.0078	-1.14
2.5	0.4993	0.0079	-1.205
3	0.5569	0.0080	-1.271
3.5	0.6140	0.0082	-1.336
4	0.6708	0.0083	-1.404
